id,ra,dec,zfinal,mass_med,sersic,radius_sersic,MAG_BEST,C,A,S,G,M20,M,I,D,G2,Base_flag,Type
4,149.804179,2.121018,0.9253,9.25092,5.93799697,0.000679746,23.9658,2.305355,-0.279493,-0.592047,0.504496,-0.881115,0.9375,0.908348,0.391339,2.021283,8192,UNC
12,149.829615,2.114887,1.3682,8.94359,2.230286834,1.83479E-05,24.5915,3.014708,0.021673,0,0.551195,-1.856707,0.04,0,0.078834,2.013751,0,SPH
18,149.826557,2.116032,0.9916,9.49382,2.111141977,2.67911E-05,23.8219,3.02297,-0.090119,0.008512,0.523799,-1.786937,0.051471,0.02263,0.046922,2.017579,0,SPH
22,149.772202,2.1359,2.0928,8.77304,0.830284359,5.01218E-05,25.435,2.689308,-0.149864,0.019885,0.465044,-0.986883,0.631579,0.316284,0.064451,2.077048,0,ETD
23,149.850643,2.107421,2.7637,8.99886,1.27596063,4.83192E-05,26.2019,2.153048,-0.277647,0,0.452214,-1.330651,0.777778,0.934256,0.398544,2.052113,0,UNC
31,149.793588,2.12822,2.0364,9.06228,1.134823452,1.82152E-05,24.9445,2.691929,-0.035825,0,0.512622,-1.614193,0.04,0,0.107395,2.026522,0,SPH
35,149.838627,2.111875,1.3682,8.98769,1.33123587,2.95917E-05,24.7595,2.80936,-0.110356,0.007135,0.514502,-1.744601,0.082353,0,0.027861,2.073972,0,SPH
40,149.845484,2.109192,1.4104,10.09869,1.244268532,0.000147918,22.0108,2.628146,-0.00564,0.019858,0.462363,-1.622801,0.053546,0.323195,0.091185,2.001587,0,LTD
41,149.842258,2.110375,0.948,9.48754,3.929714263,7.82914E-05,24.0562,3.291763,0.044317,0.033646,0.525425,-1.671484,0.036364,0.035812,0.105574,2.01492,0,ETD
42,149.842435,2.11052,1.5902,8.91888,0.96026478,0.000118425,24.2441,3.032192,-0.054616,-0.09395,0.474582,-1.329741,0.141304,0.361282,0.181924,2.024534,0,IRR
54,149.776571,2.134576,2.3184,9.15931,0.756964963,4.95111E-05,24.3714,3.010468,0.000456,0.036104,0.476776,-1.26441,1,0.560974,0.136206,2.032418,0,ETD
55,149.772595,2.136056,0.9743,8.88092,2.962276482,0.000325853,26.0387,2.634823,-0.030623,0.206303,0.440183,-0.647718,1,0,0.221088,2.034946,0,UNC
56,149.741367,2.147114,1.4373,10.73272,1.038656269,0.000103997,21.6613,2.877396,0.132543,0.030301,0.539329,-1.662559,0.061381,0.228592,0.058429,1.872744,0,ETD
59,149.760622,2.14041,3.6684,9.07981,1.255115999,6.27169E-05,24.9865,3.292727,-0.020792,-0.016601,0.541198,-1.852121,0.162996,0.076542,0.208216,2.004129,0,LTD
65,149.834836,2.113501,2.3982,9.18446,1.241099243,4.77467E-05,24.5712,3.009867,-0.066391,0.047088,0.503752,-1.657541,0.02381,0,0.097095,2.063966,0,ETD
66,149.733851,2.150173,2.2145,9.50087,0.931244836,5.20588E-05,24.0666,2.504965,-0.029129,0.009025,0.495342,-1.303182,0.315789,0.278028,0.10907,2.009961,0,LTD
74,149.84436,2.110137,1.6677,9.12558,1.460390967,3.54488E-05,25.1296,2.765044,-0.110477,0.021928,0.4967,-1.411928,0.042553,0,0.183051,2.028427,0,ETD
78,149.733127,2.150583,2.5558,9.77563,1.923554124,2.32271E-05,25.2032,2.858969,0.051915,0,0.409039,-1.471675,0.054054,0,0.206249,2.064566,0,ETD
80,149.744772,2.146336,1.0846,8.96925,0.642599799,7.88207E-05,24.8697,2.715531,-0.08485,0.150857,0.437962,-0.997585,0.310345,0.232823,0.096957,2.035209,0,UNC
82,149.850802,2.107863,1.8697,8.90597,1.307541866,4.39541E-05,25.1097,3.297205,-0.436441,-0.192105,0.470289,-1.830512,0.058824,0,0.240269,2.071462,0,ETD
84,149.852964,2.107019,1.7002,9.56537,2.588207837,5.83527E-05,23.5945,3.334631,-0.088902,0.035519,0.565436,-1.949213,0.075,0.084302,0.067032,2.043784,0,SPH
90,149.74505,2.146419,3.7563,9.00615,0.993529109,2.03573E-07,27.1175,2.089867,0.161867,0,0.381494,-1.292945,0.054545,0,0.197832,2.008677,0,IRR
91,149.84175,2.110501,0.9981,10.39945,3.693277986,1.74773E-05,21.9594,3.333691,0.053562,0,0.569418,-1.874191,0,0,0.059599,0.341524,0,SPH
96,149.818769,2.119482,1.7058,9.42298,0.559990291,0.000108178,23.627,2.739975,-0.094766,0.011229,0.491782,-1.218069,0.666667,0.607837,0.409035,2.014595,0,IRR
99,149.747723,2.145331,1.069,9.84964,0.756772389,8.55247E-05,22.5474,2.519579,0.035517,0.045529,0.483688,-1.300561,0.833333,0.482997,0.012236,2.042341,0,IRR
102,149.769684,2.137501,1.6626,9.19282,1.043228228,5.61603E-05,24.4596,2.858216,-0.073122,0.03861,0.498096,-1.302623,0.084848,0.233949,0.212666,2.005188,0,IRR
108,149.815323,2.120871,2.2696,9.96291,1.626552138,6.02084E-05,23.1777,3.397607,0.07115,-0.011734,0.58744,-1.751685,0.084052,0.038167,0.05409,1.954355,0,ETD
113,149.79788,2.127317,2.0373,9.35669,0.729238059,5.62071E-05,23.5317,2.525943,-0.025572,-0.010554,0.485476,-1.10746,0.241379,0.36579,0.222781,2.063662,0,IRR
126,149.778583,2.134516,2.3667,9.42663,1.678071067,3.83009E-05,24.934,3.505967,-0.057381,-0.008262,0.54528,-1.694856,0.073826,0.03288,0.199225,2.028685,0,SPH
133,149.769584,2.137849,1.1633,9.2403,0.520415909,8.01801E-05,23.7841,2.629969,-0.090156,-0.011752,0.475422,-0.851552,0.533333,0.994629,0.087304,2.015024,0,LTD
136,149.829909,2.116001,1.6583,8.75337,1.50453805,2.38513E-05,25.1966,3.058655,-0.138779,0.024622,0.509359,-1.365013,0.080645,0,0.043036,2.061013,8192,ETD
137,149.804964,2.125084,2.1507,8.78745,1.154845443,2.42095E-05,25.5018,3.183942,0.052696,0,0.481923,-1.706101,0.093023,0,0.218717,2.07981,0,IRR
145,149.796888,2.127774,1.4908,10.94879,0.795423606,0.000102789,20.5784,3.164814,0.273952,0.038179,0.545375,-1.86024,0.212121,0.246638,0.059319,1.388482,0,LTD
152,149.80819,2.123876,0.9703,10.5366,3.182835024,4.6755E-05,21.2115,3.933092,0.057164,0.014078,0.612899,-2.144458,0,0,0.06162,0.096757,0,ETD
154,149.771487,2.137445,2.3958,9.1252,2.545308,5.19743E-05,24.1823,2.271399,-0.175288,-0.014387,0.470379,-1.367735,0.46875,0.461268,0.28116,2.055196,0,IRR
157,149.832585,2.114835,1.9247,9.59837,2.356133419,7.76293E-05,22.9824,3.83893,0.041358,0.013134,0.593862,-1.677668,0.033923,0.206508,0.30515,1.95877,0,LTD
170,149.772435,2.137058,1.4372,9.44605,2.401442978,6.8492E-05,23.3644,3.509405,-0.085213,0.085407,0.529522,-1.952183,0.075269,0.135227,0.057893,2.000276,0,ETD
